time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-09T21:55:48.099Z,-24.7135,70.0787,10,4.8,mb,,188,39.448,0.67,us,us6000h3f5,2022-03-09T22:24:08.040Z,Mid-Indian Ridge,earthquake,15.4,1.8,0.094,35,reviewed,us,us
2022-03-09T20:38:28.638Z,38.1199,-118.113,11.1,2.5,ml,21,51.25,0.122,0.1393,nn,nn00835115,2022-03-09T21:33:43.357Z,"30 km S of Mina, Nevada",earthquake,,1.4,0.23,11,reviewed,nn,nn
2022-03-09T18:40:35.912Z,37.7385,101.3584,10,4.4,mb,,68,10.744,1.06,us,us6000h3dm,2022-03-09T19:08:52.040Z,"111 km SW of Jinchang, China",earthquake,8.1,1.5,0.073,55,reviewed,us,us
2022-03-09T18:18:18.311Z,-14.2322,-76.2234,35.5,4.9,mb,,153,2.311,0.95,us,us6000h3db,2022-03-09T18:45:19.040Z,"40 km S of Paracas, Peru",earthquake,9.8,7.7,0.043,169,reviewed,us,us
2022-03-09T18:04:03.457Z,-22.1939,-68.6028,111.19,4.8,mb,,58,0.712,1.52,us,us6000h3cz,2022-03-09T18:22:00.040Z,"44 km NE of Calama, Chile",earthquake,5.9,6.3,0.047,140,reviewed,us,us
2022-03-09T17:54:47.210Z,40.402668,-124.2675018,26.24,2.53,md,16,183,0.08162,0.07,nc,nc73703361,2022-03-09T19:30:12.213Z,"9km N of Petrolia, CA",earthquake,1.1,0.94,0.15,9,automatic,nc,nc
2022-03-09T17:03:25.783Z,58.721,-135.2233,17.7,3.1,ml,,,,1.09,ak,ak02234qonr5,2022-03-09T21:37:55.722Z,"36 km NNE of Excursion Inlet, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-03-09T16:32:22.006Z,56.615,-152.1622,0,3.5,ml,,,,0.75,ak,ak02234q9fy0,2022-03-09T16:44:01.925Z,"95 km SE of Old Harbor, Alaska",earthquake,,0.9,,,automatic,ak,ak
2022-03-09T16:30:14.969Z,-60.6957,-25.965,10,5.5,mb,,78,8.561,0.71,us,us6000h3b9,2022-03-09T18:34:24.408Z,South Sandwich Islands region,earthquake,10,1.9,0.055,113,reviewed,us,us
2022-03-09T16:18:01.292Z,6.0158,-100.7168,10,5,mb,,198,15.183,1.02,us,us6000h3b7,2022-03-09T16:34:49.040Z,Galapagos Triple Junction region,earthquake,15.9,2,0.034,286,reviewed,us,us
2022-03-09T15:10:58.073Z,44.3894,-115.2604,14.58,2.6,ml,,60,0.874,0.47,us,us6000h3as,2022-03-09T22:34:14.040Z,"32 km NW of Stanley, Idaho",earthquake,4.4,10.2,0.05,52,reviewed,us,us
2022-03-09T14:58:29.075Z,61.7213,-146.2213,6,2.5,ml,,,,0.78,ak,ak02234p85vf,2022-03-09T15:23:19.157Z,"40 km SSE of Mendeltna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-09T14:47:09.120Z,18.0505,-66.77133333,8.86,2.54,md,7,142,,0.3,pr,pr71339658,2022-03-09T18:23:53.478Z,"2 km SW of Santo Domingo, Puerto Rico",earthquake,0.83,6.82,0.215230462,6,reviewed,pr,pr
2022-03-09T14:40:29.562Z,53.8016,-165.0817,47.6,4,ml,,,,0.36,ak,ak02234p4b2x,2022-03-09T21:19:34.445Z,"58 km SE of Akutan, Alaska",earthquake,,2.6,,,reviewed,ak,ak
2022-03-09T13:53:42.110Z,17.98766667,-66.726,7.26,2.77,md,10,149,,0.15,pr,pr71339653,2022-03-09T14:16:11.970Z,"1 km SW of Tallaboa, Puerto Rico",earthquake,0.32,0.27,0.342038364,5,reviewed,pr,pr
2022-03-09T13:51:49.900Z,17.97166667,-66.87316667,16.28,2.51,md,5,201,,0.12,pr,pr71339648,2022-03-09T14:12:46.300Z,"1 km ESE of Maria Antonia, Puerto Rico",earthquake,1.53,0.89,0.226022787,4,reviewed,pr,pr
2022-03-09T13:26:15.082Z,57.696,-152.4003,26.4,3,ml,,,,0.54,ak,ak02234ofu70,2022-03-09T18:08:50.889Z,"10 km S of Kodiak, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-03-09T13:02:38.462Z,60.769,-149.6136,26.9,3.5,ml,,,,0.5,ak,ak02234oaqsf,2022-03-09T16:28:06.788Z,"16 km SW of Sunrise, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2022-03-09T12:22:14.494Z,23.282,121.4126,32.49,5.2,mww,,50,0.152,0.75,us,us6000h39z,2022-03-09T18:41:03.340Z,"79 km SSW of Hualien City, Taiwan",earthquake,7.1,4.1,0.056,31,reviewed,us,us
2022-03-09T11:31:36.555Z,50.9453,-179.182,35,3.9,mb,,227,0.906,0.71,us,us6000h39t,2022-03-09T13:31:36.702Z,"205 km WSW of Adak, Alaska",earthquake,5.7,2,0.097,28,reviewed,us,us
2022-03-09T10:39:17.775Z,33.4131,137.9029,346.7,4,mb,,84,1.282,0.93,us,us6000h39n,2022-03-09T11:44:00.040Z,"135 km SSW of ?yama, Japan",earthquake,9,4,0.093,31,reviewed,us,us
2022-03-09T10:22:04.910Z,17.978,-67.0815,7.72,2.89,md,16,214,,0.26,pr,pr71339643,2022-03-09T11:10:44.939Z,"3 km W of La Parguera, Puerto Rico",earthquake,0.8,0.29,0.214932002,10,reviewed,pr,pr
2022-03-09T09:56:30.344Z,54.5368,-159.6038,19.89,3.8,mb,,186,0.957,0.8,us,us6000h39c,2022-03-09T13:24:17.434Z,"105 km SSE of Sand Point, Alaska",earthquake,7.6,9.4,0.208,6,reviewed,us,us
2022-03-09T09:52:26.985Z,54.4896,-163.2578,10,3.6,ml,,187,0.379,0.69,us,us6000h39b,2022-03-09T10:14:58.040Z,"41 km SSE of False Pass, Alaska",earthquake,3.8,2,0.081,20,reviewed,us,us
